2026-08-04 22:55:32 | INFO     | SUCCESS : States schema loaded
2026-08-04 22:55:32 | INFO     | SUCCESS : Null Validation Passed
2026-08-04 22:55:32 | INFO     | Reading schema : States
2026-08-04 22:55:32 | INFO     | SUCCESS : States schema loaded
2026-08-04 22:55:32 | INFO     | SUCCESS : Datatype Validation Passed
2026-08-04 22:55:32 | INFO     | SUCCESS : States validation completed
2026-08-04 22:55:32 | INFO     | Reading schema : States
2026-08-04 22:55:32 | INFO     | SUCCESS : States schema loaded
2026-08-04 22:55:32 | INFO     | Clearing States
2026-08-04 22:55:32 | INFO     | SUCCESS : States cleared
2026-08-04 22:55:32 | INFO     | Inserting States
2026-08-04 22:55:32 | INFO     | SUCCESS : 36 rows inserted into States
2026-08-04 22:55:32 | INFO     | SUCCESS : States Loaded Successfully
2026-08-04 22:55:32 | INFO     | ============================================================
2026-08-04 22:55:32 | INFO     | Loading Cities
2026-08-04 22:55:32 | INFO     | ============================================================
2026-08-04 22:55:32 | INFO     | Validating Cities
2026-08-04 22:55:32 | INFO     | SUCCESS : cities.csv found.
2026-08-04 22:55:32 | INFO     | Reading schema : Cities
2026-08-04 22:55:32 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 22:55:32 | INFO     | SUCCESS : Column Validation Passed
2026-08-04 22:55:32 | INFO     | Reading schema : Cities
2026-08-04 22:55:32 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 22:55:32 | INFO     | SUCCESS : Primary Key Validation Passed
2026-08-04 22:55:32 | INFO     | Reading schema : Cities
2026-08-04 22:55:32 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 22:55:32 | INFO     | SUCCESS : Null Validation Passed
2026-08-04 22:55:32 | INFO     | Reading schema : Cities
2026-08-04 22:55:32 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 22:55:32 | INFO     | SUCCESS : Datatype Validation Passed
2026-08-04 22:55:32 | INFO     | SUCCESS : Cities validation completed
2026-08-04 22:55:32 | INFO     | Reading schema : Cities
2026-08-04 22:55:32 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 22:55:32 | INFO     | Clearing Cities
2026-08-04 22:55:32 | INFO     | SUCCESS : Cities cleared
2026-08-04 22:55:32 | INFO     | Inserting Cities
